sid,class,acc,top1_eeg,top2_eeg,top3_eeg,top4_eeg,top5_eeg,c3_shap,c4_shap,EMG1_shap,EMG2_shap,EMG3_shap,EMG4_shap
25,Right_MI,0.75,Oz,AF4,C5,FC2,AF8,0.000174,0.000116,5e-06,2e-06,2e-06,2e-06
26,Left_MI,0.75,FC2,Oz,FC1,AF4,AF7,0.000713,0.00057,0.000479,0.000319,0.000255,0.00017
26,Right_MI,0.75,FC2,Oz,FC1,AF4,AF7,0.000677,0.000564,0.000349,0.000223,0.000188,0.000128
27,Left_MI,0.61,Oz,AF7,FC2,P7,P6,0.000367,0.000267,0.00125,0.000804,0.001045,0.000329
27,Right_MI,0.61,Oz,AF7,FC2,P7,P6,0.000798,0.000591,0.002543,0.001675,0.002222,0.000703
28,Left_MI,0.51,FC2,AF7,FT9,F7,POz,3e-05,3.7e-05,1e-06,0.0,0.0,0.0
28,Right_MI,0.51,FC2,POz,AF7,C4,FT9,4.3e-05,5.3e-05,1e-06,1e-06,0.0,0.0
29,Left_MI,0.85,P6,FC2,FC1,Oz,AF7,0.000809,0.000685,0.001933,0.001052,0.001301,0.000988
29,Right_MI,0.85,P6,FC2,Oz,FC1,AF7,0.000736,0.000629,0.001908,0.001025,0.001289,0.000956
30,Left_MI,0.79,Oz,FC2,AF4,FCz,C5,0.000439,0.000253,0.001286,0.000999,0.001782,0.000926
30,Right_MI,0.79,Oz,FC2,AF4,C5,C3,0.000284,0.000155,0.000815,0.000635,0.001079,0.000587
31,Left_MI,0.75,C5,O2,F2,C3,P1,0.000127,8e-05,2e-06,1e-06,1e-06,1e-06
31,Right_MI,0.75,O2,F2,C5,P1,C3,0.000162,0.000104,3e-06,1e-06,1e-06,1e-06
32,Left_MI,0.56,Oz,AF4,FC2,C5,C3,0.000334,0.000169,5e-05,2.4e-05,3.4e-05,9e-06
32,Right_MI,0.56,Oz,AF4,FC2,C5,C3,0.000271,0.000138,3e-05,1.5e-05,1.8e-05,5e-06
33,Left_MI,0.79,AF7,P6,Oz,POz,FC3,0.000458,0.000572,0.000462,0.000466,0.000539,0.000115
33,Right_MI,0.79,AF7,P6,Oz,POz,FC3,0.000578,0.00071,0.000565,0.000567,0.000632,0.000137
34,Left_MI,0.76,Oz,FC3,FC2,P6,PO7,0.000779,0.000598,0.000813,0.00064,0.000839,0.000315
34,Right_MI,0.76,Oz,FC3,P6,FC2,PO7,0.001183,0.000901,0.001434,0.001204,0.001444,0.000529
35,Left_MI,0.65,Oz,FC2,AF4,C5,FC1,0.000535,0.000299,0.000146,7e-05,9.1e-05,5.9e-05
35,Right_MI,0.65,Oz,FC2,AF4,C5,FC1,0.000809,0.000456,0.000182,8.7e-05,0.00011,7.2e-05
36,Left_MI,0.65,Oz,FC2,AF4,O1,C3,0.000738,0.000288,0.0,1e-06,0.0,0.0
