sid,class,top1,top2,top3,top4,top5,c3,c4,laterality
38,Left_MI,Oz,AF4,FC2,O2,P1,0.469636,0.137902,-0.331734
38,Right_MI,Oz,AF4,FC2,O2,F2,0.339321,0.13822,-0.201102
39,Left_MI,Oz,AF4,FC1,FC2,FC3,0.255981,0.273587,0.017606
39,Right_MI,Oz,AF4,FC2,C5,FCz,0.287849,0.129004,-0.158844
40,Left_MI,Oz,AF4,AF8,O1,T7,0.183812,0.110754,-0.073058
40,Right_MI,Oz,AF4,AF8,CP2,O1,0.216762,0.114093,-0.102669
41,Left_MI,Oz,FC2,AF4,C5,FCz,0.374998,0.082126,-0.292872
41,Right_MI,FC2,Oz,AF4,POz,FCz,0.302572,0.241917,-0.060655
42,Left_MI,CP4,POz,PO4,Oz,PO8,0.376967,0.184827,-0.19214
42,Right_MI,Oz,FC2,C5,AF4,FC3,0.337561,0.12452,-0.213041
43,Left_MI,Oz,AF4,FC2,CP2,O1,0.19963,0.092734,-0.106896
43,Right_MI,Oz,FC2,AF4,CP4,CP2,0.272406,0.100172,-0.172233
44,Left_MI,Oz,FC2,AF4,FCz,FC3,0.201237,0.059573,-0.141664
44,Right_MI,Oz,FC2,FC1,AF4,FCz,0.2107,0.126587,-0.084113
45,Left_MI,Oz,AF4,PO8,C5,FC2,0.387527,0.230119,-0.157407
45,Right_MI,FC2,AF4,Oz,C5,FCz,0.311487,0.065605,-0.245882
46,Left_MI,Oz,PO8,FC2,CP4,Pz,0.365294,0.188813,-0.176481
46,Right_MI,Oz,AF4,O1,F5,F2,0.116713,0.178306,0.061593
47,Left_MI,Oz,FC2,FCz,POz,Pz,0.341246,0.139696,-0.201549
47,Right_MI,Oz,FCz,FC2,POz,Pz,0.3414,0.129001,-0.212398
48,Left_MI,FC2,Oz,AF4,C5,C3,0.8377,0.393256,-0.444445
48,Right_MI,C5,AF4,Oz,FC2,C3,0.583099,0.109215,-0.473883
49,Left_MI,AF4,C5,Oz,O2,F8,0.480998,0.335494,-0.145504
49,Right_MI,C5,Oz,AF4,FC2,O2,0.510281,0.211836,-0.298445
50,Left_MI,Oz,FC2,AF4,FCz,C5,0.363528,0.088497,-0.275031
50,Right_MI,Oz,FC2,FCz,P6,C5,0.447022,0.179127,-0.267895
51,Left_MI,Oz,AF4,FC2,C5,C3,0.455912,0.098404,-0.357508
51,Right_MI,AF4,FC2,Oz,C5,F2,0.384926,0.264857,-0.120069
52,Left_MI,Oz,FC2,AF4,FCz,C5,0.286718,0.075037,-0.211682
52,Right_MI,Oz,FC2,AF4,O1,FCz,0.236981,0.106657,-0.130324
